# energy s p d
-2.181173557000000329e+01 4.967299999999999471e+01 2.376600000000000268e+00 0.000000000000000000e+00
-2.180173556999999818e+01 4.711999999999998967e-01 3.120000000000000551e-02 0.000000000000000000e+00
-2.179173557000000017e+01 4.621999999999998887e-01 3.160000000000000309e-02 0.000000000000000000e+00
-2.178173557000000216e+01 4.599000000000000865e-01 3.230000000000000232e-02 0.000000000000000000e+00
-2.177173557000000415e+01 4.651000000000000689e-01 3.360000000000001180e-02 0.000000000000000000e+00
-2.176173556999999903e+01 4.789999999999999258e-01 3.360000000000001180e-02 0.000000000000000000e+00
-2.175173557000000102e+01 5.026999999999999247e-01 3.440000000000000696e-02 0.000000000000000000e+00
-2.174173557000000301e+01 5.351000000000000201e-01 3.749999999999999861e-02 0.000000000000000000e+00
-2.173173557000000500e+01 5.763000000000000345e-01 3.810000000000000192e-02 0.000000000000000000e+00
-2.172173556999999988e+01 6.249999999999998890e-01 4.100000000000001560e-02 0.000000000000000000e+00
-2.171173557000000187e+01 6.796999999999998598e-01 4.399999999999999051e-02 0.000000000000000000e+00
-2.170173557000000386e+01 7.381000000000002004e-01 4.499999999999997752e-02 0.000000000000000000e+00
-2.169173556999999875e+01 7.986999999999999655e-01 4.800000000000000100e-02 0.000000000000000000e+00
-2.168173557000000073e+01 8.584000000000000519e-01 5.100000000000000366e-02 0.000000000000000000e+00
-2.167173557000000272e+01 9.155000000000000915e-01 5.450000000000000677e-02 0.000000000000000000e+00
-2.166173557000000471e+01 9.677000000000000046e-01 5.739999999999997882e-02 0.000000000000000000e+00
-2.165173556999999960e+01 1.013199999999999878e+00 6.009999999999997289e-02 0.000000000000000000e+00
-2.164173557000000159e+01 1.051000000000000156e+00 6.089999999999998886e-02 0.000000000000000000e+00
-2.163173557000000358e+01 1.080100000000000060e+00 6.179999999999999383e-02 0.000000000000000000e+00
-2.162173556999999846e+01 1.099300000000000166e+00 6.320000000000002005e-02 0.000000000000000000e+00
-2.161173557000000045e+01 1.109200000000000186e+00 6.339999999999999802e-02 0.000000000000000000e+00
-2.160173557000000244e+01 1.109600000000000142e+00 6.329999999999999516e-02 0.000000000000000000e+00
-2.159173557000000443e+01 1.102200000000000069e+00 6.270000000000001961e-02 0.000000000000000000e+00
-2.158173556999999931e+01 1.087500000000000133e+00 6.230000000000000121e-02 0.000000000000000000e+00
-2.157173557000000130e+01 1.067299999999999915e+00 6.169999999999999790e-02 0.000000000000000000e+00
-2.156173557000000329e+01 1.042700000000000182e+00 6.079999999999999988e-02 0.000000000000000000e+00
-2.155173556999999818e+01 1.016100000000000003e+00 5.899999999999998301e-02 0.000000000000000000e+00
-2.154173557000000017e+01 9.894999999999997131e-01 5.819999999999998092e-02 0.000000000000000000e+00
-2.153173557000000216e+01 9.650000000000001910e-01 5.689999999999998531e-02 0.000000000000000000e+00
-2.152173557000000415e+01 9.436000000000001053e-01 5.669999999999997958e-02 0.000000000000000000e+00
-2.151173556999999903e+01 9.284000000000001140e-01 5.689999999999998531e-02 0.000000000000000000e+00
-2.150173557000000102e+01 9.199000000000000510e-01 5.759999999999999148e-02 0.000000000000000000e+00
-2.149173557000000301e+01 9.185999999999999721e-01 5.699999999999998818e-02 0.000000000000000000e+00
-2.148173557000000500e+01 9.255999999999998673e-01 5.669999999999997958e-02 0.000000000000000000e+00
-2.147173556999999988e+01 9.403999999999997916e-01 5.849999999999998257e-02 0.000000000000000000e+00
-2.146173557000000187e+01 9.614000000000000323e-01 5.979999999999997123e-02 0.000000000000000000e+00
-2.145173557000000386e+01 9.875000000000000444e-01 6.190000000000000363e-02 0.000000000000000000e+00
-2.144173556999999875e+01 1.016699999999999937e+00 6.559999999999999165e-02 0.000000000000000000e+00
-2.143173557000000073e+01 1.048100000000000032e+00 6.800000000000001876e-02 0.000000000000000000e+00
-2.142173557000000272e+01 1.077899999999999858e+00 6.999999999999999278e-02 0.000000000000000000e+00
-2.141173557000000471e+01 1.104700000000000237e+00 7.219999999999998641e-02 0.000000000000000000e+00
-2.140173556999999960e+01 1.126600000000000046e+00 7.510000000000000009e-02 0.000000000000000000e+00
-2.139173557000000159e+01 1.141900000000000359e+00 7.669999999999999041e-02 0.000000000000000000e+00
-2.138173557000000358e+01 1.150500000000000078e+00 7.719999999999997697e-02 0.000000000000000000e+00
-2.137173556999999846e+01 1.150200000000000111e+00 7.929999999999998161e-02 0.000000000000000000e+00
-2.136173557000000045e+01 1.141799999999999926e+00 7.939999999999997060e-02 0.000000000000000000e+00
-2.135173557000000244e+01 1.125299999999999967e+00 7.949999999999997347e-02 0.000000000000000000e+00
-2.134173557000000443e+01 1.102300000000000280e+00 7.979999999999996818e-02 0.000000000000000000e+00
-2.133173556999999931e+01 1.073300000000000143e+00 7.869999999999997831e-02 0.000000000000000000e+00
-2.132173557000000130e+01 1.040399999999999991e+00 7.719999999999999085e-02 0.000000000000000000e+00
